STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
722098,64761, 20130624,   80.4,11,   72.3,11, 9999.9, 0, 1014.3,11,   7.6,11,   7.0,11,   9.9, 999.9,   86.0*,  69.8*, 0.00I,999.9, 100000,
722098,64761, 20130625,   81.1, 7,   71.3, 7, 9999.9, 0, 1011.3, 7,   9.3, 7,   7.4, 7,   9.9, 999.9,   84.2*,  78.8*, 0.00I,999.9, 000000,
722098,64761, 20130626,   78.5, 7,   70.3, 7, 9999.9, 0, 1007.8, 7,  10.0, 7,   7.0, 7,   9.9, 999.9,   82.4*,  69.8*, 0.00I,999.9, 000000,
722098,64761, 20130627,   72.6, 7,   69.3, 7, 9999.9, 0, 1007.2, 7,   8.9, 7,   3.9, 7,   6.0, 999.9,   75.2*,  71.6*, 0.00I,999.9, 000000,
722098,64761, 20130628,   71.1,10,   70.0,10, 9999.9, 0,  999.5,10,   0.8,10,   9.9,10,  14.0, 999.9,   73.4*,  69.8*, 0.00I,999.9, 100000,
722098,64761, 20130629,   72.0,13,   70.1,13, 9999.9, 0, 1002.1,13,   7.1,13,  10.0,13,  15.0, 999.9,   75.2*,  69.8*,99.99 ,999.9, 110000,
722098,64761, 20130630,   70.5,16,   68.7,16, 9999.9, 0, 1009.1,14,   5.2,16,   7.7,16,  13.0, 999.9,   71.6*,  69.8*, 0.00I,999.9, 100000,
722098,64761, 20130701,   71.3,14,   70.4,14, 9999.9, 0, 1015.2,12,   3.3,14,   7.8,14,  11.1, 999.9,   73.4*,  69.8*,99.99 ,999.9, 110000,
722098,64761, 20130702,   72.3,10,   70.7,10, 9999.9, 0, 1019.6,10,   6.5,10,   8.5,10,  12.0, 999.9,   73.4*,  69.8*, 0.00I,999.9, 000000,
722098,64761, 20130703,   73.8,13,   71.7,13, 9999.9, 0, 1022.4,13,   8.2,13,  10.8,13,  15.0, 999.9,   75.2*,  71.6*, 0.00I,999.9, 000000,
722098,64761, 20130704,   78.7,13,   73.3,13, 9999.9, 0, 1021.9,13,   8.8,13,  10.5,13,  15.9, 999.9,   91.4*,  73.4*, 0.00I,999.9, 000000,
722098,64761, 20130705,   79.3,10,   73.6,10, 9999.9, 0, 1019.9,10,  10.0,10,  11.1,10,  14.0, 999.9,   82.4*,  75.2*, 0.00I,999.9, 000000,
722098,64761, 20130706,   82.1,12,   73.7,12, 9999.9, 0, 1017.0,12,  10.0,12,   9.8,12,  14.0, 999.9,   86.0*,  73.4*, 0.00I,999.9, 000000,
722098,64761, 20130707,   80.9,14,   73.5,14, 9999.9, 0, 1014.6,14,  10.0,14,   8.1,14,  15.0, 999.9,   86.0*,  75.2*, 0.00I,999.9, 000000,
722098,64761, 20130708,   79.2,13,   71.7,13, 9999.9, 0, 1014.2,13,  10.0,13,   9.1,13,  14.0, 999.9,   82.4*,  75.2*, 0.00I,999.9, 000000,
722098,64761, 20130709,   76.6, 5,   72.3, 5, 9999.9, 0, 1016.0, 5,   7.2, 5,   6.8, 5,   9.9, 999.9,   78.8*,  75.2*, 0.00I,999.9, 000000,
722098,64761, 20130710,   75.3,16,   72.8,16, 9999.9, 0, 1012.4,16,   5.8,16,   9.6,16,  15.0, 999.9,   77.0*,  71.6*, 0.00I,999.9, 000000,
722098,64761, 20130711,   74.5,13,   72.4,13, 9999.9, 0, 1009.9,13,   6.6,13,   6.6,13,  12.0,  21.0,   77.0*,  73.4*,99.99 ,999.9, 010000,
722098,64761, 20130712,   72.2,14,   69.0,14, 9999.9, 0, 1014.7,14,   9.2,14,   7.4,14,  12.0, 999.9,   75.2*,  69.8*, 0.00I,999.9, 000000,
722098,64761, 20130713,   72.1,14,   71.2,14, 9999.9, 0, 1022.9,14,   5.1,14,   3.9,14,  12.0, 999.9,   75.2*,  68.0*,99.99 ,999.9, 110000,
722098,64761, 20130714,   79.6,13,   74.1,13, 9999.9, 0, 1023.8,13,   8.5,13,   7.7,13,   9.9, 999.9,   86.0*,  73.4*, 0.00I,999.9, 100000,
722098,64761, 20130715,   83.1,12,   73.4,12, 9999.9, 0, 1020.3,12,   9.8,12,   2.5,12,   7.0, 999.9,   89.6*,  73.4*, 0.00I,999.9, 000000,
722098,64761, 20130716,   83.5,15,   71.6,15, 9999.9, 0, 1018.9,15,  10.0,15,   2.5,15,   5.1, 999.9,   89.6*,  75.2*, 0.00I,999.9, 000000,
722098,64761, 20130717,   79.9,10,   73.0,10, 9999.9, 0, 1019.6,10,  10.0,10,   3.0,10,   6.0, 999.9,   84.2*,  75.2*, 0.00I,999.9, 000000,
722098,64761, 20130718,   86.0,10,   74.7,10, 9999.9, 0, 1014.5,10,  10.0, 9,   4.4,10,   9.9, 999.9,   91.4*,  77.0*, 0.00I,999.9, 000000,
722098,64761, 20130719,   83.6,13,   77.4,13, 9999.9, 0, 1010.5,13,   6.3,13,  13.4,13,  19.0, 999.9,   87.8*,  78.8*, 0.00I,999.9, 000000,
722098,64761, 20130720,   83.0, 9,   75.2, 9, 9999.9, 0, 1005.9, 9,  10.0, 9,  14.1, 9,  18.1,  22.9,   84.2*,  80.6*, 0.00I,999.9, 000000,
722098,64761, 20130721,   77.4,10,   69.6,10, 9999.9, 0, 1010.6,10,  10.0,10,   5.4,10,  12.0, 999.9,   78.8*,  73.4*, 0.00I,999.9, 000000,
722098,64761, 20130722,   74.2,14,   72.1,14, 9999.9, 0, 1012.2,14,   4.8,14,   4.5,14,   8.9, 999.9,   77.0*,  71.6*,99.99 ,999.9, 010000,
722098,64761, 20130723,   76.5,14,   73.8,14, 9999.9, 0, 1003.9,14,   5.4,14,   8.1,14,  15.0, 999.9,   80.6*,  73.4*,99.99 ,999.9, 010000,
722098,64761, 20130724,   79.1,14,   72.1,14, 9999.9, 0, 1004.0,14,   9.6,14,   4.2,14,  12.0, 999.9,   86.0*,  71.6*, 0.00I,999.9, 000000,
722098,64761, 20130725,   64.6,15,   60.2,15, 9999.9, 0, 1014.5,15,   9.1,15,   8.6,15,  12.0, 999.9,   75.2*,  62.6*,99.99 ,999.9, 010000,
722098,64761, 20130726,   66.3,16,   63.6,16, 9999.9, 0, 1014.2,16,   9.7,16,   8.1,16,  11.1, 999.9,   69.8*,  62.6*,99.99 ,999.9, 010000,
722098,64761, 20130727,   72.7,13,   68.3,13, 9999.9, 0, 1016.4,13,  10.0,13,   7.6,13,  12.0, 999.9,   75.2*,  68.0*, 0.00I,999.9, 000000,
722098,64761, 20130728,   73.3,12,   69.3,12, 9999.9, 0, 1014.2,12,   9.1,12,   4.9,12,  13.0, 999.9,   77.0*,  69.8*, 0.00I,999.9, 000000,
722098,64761, 20130729,   74.7,15,   71.4,15, 9999.9, 0, 1014.6,15,   8.8,15,   4.3,15,   9.9, 999.9,   78.8*,  71.6*,99.99 ,999.9, 010000,
722098,64761, 20130730,   72.6, 9,   62.2, 9, 9999.9, 0, 1017.7, 9,  10.0, 9,   6.4, 9,  15.9, 999.9,   77.0*,  68.0*, 0.00I,999.9, 000000,
722098,64761, 20130731,   73.0,14,   61.7,14, 9999.9, 0, 1018.5,14,  10.0,14,   4.9,14,  11.1, 999.9,   77.0*,  64.4*, 0.00I,999.9, 000000,
722098,64761, 20130801,   70.9,13,   65.1,13, 9999.9, 0, 1013.4,11,   9.6,13,   5.6,13,  14.0, 999.9,   75.2*,  64.4*,99.99 ,999.9, 010000,
722098,64761, 20130802,   74.5,10,   66.0,10, 9999.9, 0, 1010.4,10,  10.0, 9,   8.9,10,  12.0, 999.9,   78.8*,  66.2*, 0.00I,999.9, 000000,
722098,64761, 20130803,   71.8,10,   66.0,10, 9999.9, 0, 1010.3,10,  10.0,10,   6.8,10,   9.9, 999.9,   75.2*,  69.8*,99.99 ,999.9, 010000,
722098,64761, 20130804,   73.5,15,   60.1,15, 9999.9, 0, 1009.3,15,  10.0,15,   6.9,15,  12.0, 999.9,   78.8*,  69.8*, 0.00I,999.9, 000000,
722098,64761, 20130805,   68.4,15,   54.6,15, 9999.9, 0, 1014.0,15,  10.0,15,   5.8,15,  12.0, 999.9,   75.2*,  60.8*, 0.00I,999.9, 000000,
722098,64761, 20130806,   68.8,11,   59.3,11, 9999.9, 0, 1018.1,11,  10.0,11,   5.6,11,   9.9, 999.9,   73.4*,  57.2*, 0.00I,999.9, 000000,
722098,64761, 20130807,   69.8,11,   62.3,11, 9999.9, 0, 1020.0,11,  10.0,11,   6.3,11,   9.9, 999.9,   73.4*,  57.2*, 0.00I,999.9, 000000,
722098,64761, 20130808,   72.4,11,   68.8,11, 9999.9, 0, 1017.6, 9,  10.0,11,  11.8,11,  15.9,  20.0,   77.0*,  69.8*, 0.00I,999.9, 000000,
722098,64761, 20130809,   73.9,14,   72.1,14, 9999.9, 0, 1011.8,14,   7.4,14,  11.5,14,  15.9,  19.0,   75.2*,  71.6*,99.99 ,999.9, 010000,
722098,64761, 20130810,   75.7,10,   66.9,10, 9999.9, 0, 1011.4, 9,   9.2,10,   8.2,10,   9.9, 999.9,   80.6*,  71.6*,99.99 ,999.9, 010000,
722098,64761, 20130811,   71.4,10,   57.4,10, 9999.9, 0, 1016.9, 8,  10.0,10,   5.8,10,   8.9, 999.9,   75.2*,  66.2*, 0.00I,999.9, 000000,
