USAF,WBAN,STATION_NAME,CTRY,FIPS,STATE,CALL,LAT,LON,ELEV(.1M),BEGIN,END
652520,99999,OWERRI,NI,NI,NA,NA,5483,7000,910,19880101,20130704
652540,99999,UMUAHIA,NI,NI,NA,NA,5483,7550,1220,NA,NA
652570,99999,ENUGU,NI,NI,NA,NA,6467,7550,1370,19490325,20130705
652600,99999,UYO,NI,NI,NA,DNAI,5500,7917,380,19830705,20130602
652640,99999,CALABAR,NI,NI,NA,DNCA,4967,8350,630,19490225,20130705
652710,99999,MAKURDI,NI,NI,NA,DNMK,7733,8533,970,19730101,20130705
652720,99999,OGOJA,NI,NI,NA,NA,6667,8800,1170,20050614,20090313
652730,99999,IKOM,NI,NI,NA,NA,5967,8717,930,19791103,20110826
652740,99999,OBUDU,NI,NI,NA,NA,6600,9317,2840,20111204,20120730
652750,99999,OGOJA,NI,NI,NA,NA,6667,8800,1170,19830701,20130704
652850,99999,TIKO,CM,CM,NA,NA,4100,9350,518,19490511,19521029
652920,99999,NA,NA,NA,NA,NA,NA,NA,NA,19490323,19520901
653060,99999,KANDI,BJ,BN,NA,DBBK,11133,2933,2920,19490401,20130705
653190,99999,NATITINGOU,BJ,BN,NA,DBBN,10317,1383,4610,19490407,20130705
653300,99999,PARAKOU,BJ,BN,NA,DBBP,9350,2617,3930,19730101,20130705
653330,99999,TCHUOUROU_DAHOMEY,BN,BA,NA,NA,8867,2600,3271,19490401,20120123
653350,99999,SAVE,BJ,BN,NA,DBBS,8032,2467,2000,19490401,20130705
653380,99999,BOHICON,BJ,BN,NA,DBBC,7167,2067,1670,19490402,20130705
653440,99999,COTONOU,BJ,BN,NA,DBBB,6350,2383,60,19490401,20130705
653510,99999,DAPAON,TG,TO,NA,NA,10867,250,3300,19780311,20130506
653520,99999,MANGO,TG,TO,NA,DXMG,10367,467,1460,19490125,20130705
653550,99999,NIAMTOUGOU,TG,TO,NA,DXNG,9767,1100,3430,19851201,20130705
653570,99999,KARA,TG,TO,NA,NA,9550,1167,3410,19771103,20130506
653610,99999,SOKODE,TG,TO,NA,DXSK,8983,1150,3870,19490119,20130705
653760,99999,ATAKPAME,TG,TO,NA,DXAK,7583,1117,4020,19490114,20130705
653765,99999,DAPANGO,TG,TO,NA,DXDP,10800,250,9190,20060730,20130705
653780,99999,KOUMA-KONDA,TG,TO,NA,NA,6950,583,6410,20051226,20051226
653800,99999,TABLIGBO,TG,TO,NA,DXTA,6583,1500,440,19730101,20130705
653870,99999,LOME,TG,TO,NA,DXXX,6167,1250,250,19490114,20130705
654010,99999,NAVRONGO,GH,GH,NA,DGLN,10900,-1100,2030,19490112,20130705
